"GEX115","15A","2","2","MAT","5"
"GEX116","15A","2","9","MAT","5"
"GEX119","15A","2","4","MAT","6"
"GEX120","15A","2","2","MAT","5"
"GEX120","18A","2","1","FIS","4"
"GEX121","15A","2","8","MAT","6"
"GEX123","15A","2","6","MAT","7"
"GEX124","15A","2","10","MAT","7"
"GEX145","18A","2","3","FIS","6"
"GEX150","18A","3","7","FIS","7"
"GEX150","18B","3","1","FIS","7"
"GEX153","18A","2","4","FIS","7"
"GEX155","18A","3","4","FIS","9"
"GEX158","15A","2","2","MAT","9"
"GEX168","15A","2","5","MAT","3"
"GEX182","15A","2","37","MAT","1"
"GEX187","15A","2","5","MAT","0"
"GEX189","18A","3","33","FIS","1"
"GEX190","18A","3","13","FIS","2"
"GEX191","18A","3","3","FIS","2"
"GEX192","18A","3","13","FIS","3"
"GEX193","18A","2","5","FIS","3"
"GEX194","18A","3","4","FIS","4"
"GEX195","18A","2","6","FIS","4"
"GEX197","18A","3","1","FIS","5"
"GEX198","18A","2","2","FIS","5"
"GEX209","15A","1","35","MAT","1"
"GEX210","15A","1","23","MAT","2"
"GEX211","15A","2","8","MAT","4"
"GEX212","15A","1","8","MAT","4"
"GEX213","15A","1","4","MAT","5"
"GEX214","15A","2","4","MAT","5"
"GEX215","15A","1","2","MAT","5"
"GEX218","15A","1","2","MAT","6"
"GEX219","15A","1","7","MAT","7"
"GEX221","15A","1","11","MAT","7"
"GEX222","15A","1","4","MAT","8"
"GEX223","15A","1","4","MAT","8"
"GEX224","18A","1","4","FIS","5"
"GEX224","18B","1","1","FIS","5"
"GEX242","15A","2","8","MAT","3"
"GEX252","14A","2","16","BSI","2"
"GEX254","15A","1","33","MAT","2"
"GEX255","15A","2","3","MAT","0"
"GFI103","15A","1","34","MAT","2"
"GFI104","15A","1","12","MAT","4"
"GFI105","15A","1","9","MAT","4"
"GFI108","18A","2","1","FIS","4"
"GFI109","15A","1","8","MAT","5"
"GFI114","18A","2","9","FIS","7"
